['三星Galaxy S9+'],['6999.00'],['6GB'],['3500'],['谜夜黑'],['800万像素'],['双1200万像素']
['三星Galaxy S9+'],['6699.00'],['6GB'],['3500'],['谜夜黑'],['800万像素'],['双1200万像素']
['三星Galaxy S9'],['6099.00'],['4GB'],['3000'],['谜夜黑'],['800万像素'],['1200万像素']
['三星Galaxy C5（SM-C5000）'],['1199.00'],['4GB'],['2600'],['枫叶金'],['800万像素'],['1600万像素']
['三星Galaxy S8+'],['5499.00'],['4GB'],['3500'],['谜夜黑'],['800万像素'],['1200万像素']
['三星Galaxy C8'],['1999.00'],['4GB'],['3000mAh'],['墨玉黑'],['1600万像素'],['500万像素；1300万像素']
['三星Galaxy S9'],['5799.00'],['4GB'],['3000'],['夕雾紫'],['800万像素'],['1200万像素']
['三星Galaxy S9+'],['7599.00'],['6GB'],['3500'],['谜夜黑'],['800万像素'],['双1200万像素']
['三星Galaxy Note8'],['6988.00'],['6GB'],['3300mAh'],['谜夜黑'],['800万像素'],['双1200万像素']
['三星Galaxy S8'],['4999.00'],['其他'],['3000'],['谜夜黑'],['800万像素'],['1200万像素']
['三星Galaxy Note8'],['7388.00'],['6GB'],['3300mAh'],['芭比粉'],['800万像素'],['双1200万像素']
['三星GalaxyFolder2'],['1799.00'],['2GB'],['1950'],['琉璃黑'],['500万像素'],['800万像素']
['三星Galaxy S8+'],['6299.00'],['6GB'],['3500'],['谜夜黑'],['800万像素'],['1200万像素']
['三星Galaxy Note8'],['7988.00'],['6GB'],['3300mAh'],['谜夜黑'],['800万像素'],['双1200万像素']
['三星Galaxy S8'],['4999.00'],['4GB'],['3000'],['谜夜黑'],['800万像素'],['1200万像素']
['三星Galaxy Note8'],['6988.00'],['6GB'],['3300mAh'],['谜夜黑'],['800万像素'],['双1200万像素']
['三星Galaxy S8+'],['5499.00'],['4GB'],['3500'],['粉色'],['800万像素'],['1200万像素']
['三星大器3(G9092)'],['2999.00'],['2GB'],"['1,900mAh']",['黑色'],['200万像素'],['1300万像素']
['三星Galaxy S9'],['5799.00'],['4GB'],['3000'],['夕雾紫'],['800万像素'],['1200万像素']
['三星Galaxy S8'],['4999.00'],['4GB'],['3000'],['谜夜黑'],['800万像素'],['1200万像素']
['三星Galaxy S9+'],['6999.00'],['6GB'],['3500'],['莱茵蓝'],['800万像素'],['双1200万像素']
['三星W2016'],['9888.00'],['3GB'],['2000'],['尊贵金'],['500万像素'],['1600万像素']
['三星Galaxy S9+'],['6699.00'],['6GB'],['3500'],['夕雾紫'],['800万像素'],['双1200万像素']
['三星Galaxy S8+'],['5499.00'],['4GB'],['3500'],['谜夜黑'],['800万像素'],['1200万像素']
['Galaxy S9'],['6099.00'],['4GB'],['3000'],['夕雾紫'],['800万像素'],['1200万像素']
['三星Galaxy S8+'],['6299.00'],['6GB'],['3500'],['谜夜黑'],['800万像素'],['1200万像素']
['三星Galaxy S8'],['5988.00'],['4GB'],['3000'],['谜夜黑'],['800万像素'],['1200万像素']
['三星Galaxy Note8'],['7388.00'],['6GB'],['3300mAh'],['谜夜黑'],['800万像素'],['双1200万像素']
['三星Galaxy S8'],['4999.00'],['4GB'],['3000'],['烟晶灰'],['800万像素'],['1200万像素']
['三星Galaxy S8'],['4999.00'],['4GB'],['3000'],['雾屿蓝'],['800万像素'],['1200万像素']
['三星Galaxy Note8'],['7388.00'],['6GB'],['3300mAh'],['星河蓝'],['800万像素'],['双1200万像素']
['三星Galaxy Note8'],['7988.00'],['6GB'],['3300mAh'],['谜夜黑'],['800万像素'],['双1200万像素']
['三星Galaxy S8'],['4999.00'],['4GB'],['3000'],['粉色'],['800万像素'],['1200万像素']
['三星Galaxy Note8'],['6988.00'],['6GB'],['3300mAh'],['星河蓝'],['800万像素'],['双1200万像素']
['三星Galaxy S8+'],['5499.00'],['4GB'],['3500'],['雾屿蓝'],['800万像素'],['1200万像素']
['三星Galaxy S8+'],['6299.00'],['6GB'],['3500'],['烟晶灰'],['800万像素'],['1200万像素']
['三星Galaxy S8+'],['5499.00'],['4GB'],['3500'],['烟晶灰'],['800万像素'],['1200万像素']
['三星Galaxy Note8'],['7388.00'],['6GB'],['3300mAh'],['旷野灰'],['800万像素'],['双1200万像素']
['三星Galaxy Note8'],['6988.00'],['6GB'],['3300mAh'],['旷野灰'],['800万像素'],['双1200万像素']
['三星Galaxy Note8'],['6988.00'],['6GB'],['3300mAh'],['谜夜黑'],['800万像素'],['双1200万像素']
['三星Galaxy S8'],['4999.00'],['4GB'],['3000'],['烟晶灰'],['800万像素'],['1200万像素']
['三星Galaxy J3'],['999.00'],['3GB'],['2600'],['嫣霞粉'],['500万像素'],['1300万像素']
['三星（SAMSUNG）Galaxy C9 Pro'],['2549.00'],['6GB'],['4000'],['金色'],['1600万像素'],['1600万像素']
['三星（SAMSUNG） Galaxy S7 (G9300) 全网通4G智能手机 铂光金（4G+32G）'],['2699.00'],['4GB'],['3000'],['其他'],['500万像素'],['1200万像素']
['三星（SAMSUNG） Galaxy J3（J3300） 手机 雪夜黑 全网通(3GB+32GB)'],['939.00'],['3GB'],['2600'],['其他'],['500万像素'],['1300万像素']
['三星（SAMSUNG）Galaxy J3'],['968.00'],['3GB'],['以官网信息为准'],['其他'],['500万像素'],['1300万像素']
['三星（SAMSUNG）Galaxy C7'],['1658.00'],['其他'],['3000'],['其他'],['其他'],['500万像素；1300万像素']
['三星（SAMSUNG） Galaxy Folder2 （G1650）全网通4G 翻盖手机 黑色'],['1799.00'],['2GB'],['1950'],['其他'],['500万像素'],['800万像素']
['三星（SAMSUNG） Galaxy C7（SM-C7000）全网通4G智能手机 烟雨灰（4G+32G）'],['1599.00'],['4GB'],['3300'],['其他'],['800万像素'],['1600万像素']
['三星（SAMSUNG）Galaxy C7 pro'],['1939.00'],['4GB'],['以官网信息为准'],['其他'],['1600万像素'],['1600万像素']
['三星（SAMSUNG） C5Pro Galaxy（C5010） 碧湖蓝 全网通4G(4G+64G)'],['1696.00'],['4GB'],['2600'],['其他'],['1600万像素'],['1600万像素']
['三星（SAMSUNG） Galaxy J3 手机 雪夜黑 全网通(三星J3300) 32GB'],['948.00'],['3GB'],['2600'],['其他'],['500万像素'],['1300万像素']
['三星（SAMSUNG）Galaxy S9+（SM-G9650/DS）'],['6699.00'],['6GB'],['3500mAh'],['黑色'],['800万像素'],['双1200万像素']
['三星（SAMSUNG）Galaxy S8+'],['5499.00'],['4GB'],['3500'],['其他'],['800万像素'],['1200万像素']
['三星（SAMSUNG） Galaxy J3 （SM-J3300）手机 流沙金 全网通（3G+32G）'],['929.00'],['3GB'],['2600'],['其他'],['500万像素'],['1300万像素']
['三星（SAMSUNG） 三星 领世旗舰8（G9298）翻盖手机 黑色 移动联通双4G(4G RAM+64G ROM)'],['9788.00'],['4GB'],['2300'],['黑色'],['500万像素'],['1200万像素']
['三星（SAMSUNG） 三星 W2018（SM-W2018）手机 至尊雅金 全网通(6G+64G)'],['13058.00'],['6GB'],['2300mAh'],['金色'],['500万像素'],['1200万像素']
['三星（SAMSUNG）SM-C7100'],['1999.00'],['4GB'],['3000mAh'],['黑色'],['1600万像素'],['500万像素；1300万像素']
['三星（SAMSUNG） Galaxy C8（C7100） 移动联通电信4G手机 墨玉黑 32G'],['1538.00'],['其他'],['3000mAh'],['黑色'],['1600万像素'],['500万像素；1300万像素']
['SAMSUNG 三星 Galaxy C8（SM-C7100）手机 智能手机 墨玉黑 全网通C8  4+64GB'],['1599.00'],['4GB'],['0'],['黑色'],['1600万像素'],['500万像素；1300万像素']
['三星（SAMSUNG） Galaxy J3 J3308 移动4G 智能老人机手机 雪夜黑 3G+32G'],['1039.00'],['3GB'],['2600'],['黑色'],['500万像素'],['1300万像素']
['三星（SAMSUNG） Galaxy C9 Pro(C9000)全网通4G智能手机 墨玉黑（6G+64G）'],['2699.00'],['6GB'],['4000'],['金色'],['1600万像素'],['1600万像素']
['三星（SAMSUNG）SM-C7100'],['1499.00'],['3GB'],['3000mAh'],['金色'],['1600万像素'],['500万像素；1300万像素']
